CourseID,CourseName,CreditHours,Instructor,Prerequisite,Syllabus
CS101,Introduction to Programming,3,Dr. Smith,None,Programming basics
CS102,Data Structures,3,Dr. Johnson,CS101,Arrays
CS201,Algorithms,3,Dr. Adams,CS102,Sorting
CS301,Advanced Programming,3,Dr. Williams,CS101,OOP principles
MATH101,Calculus I,3,Dr. Green,None,Limits
MATH102,Calculus II,3,Dr. Green,MATH101,Advanced integration
CHEM101,Chemistry Basics,3,Dr. Curie,None,Atomic structure
MATH201,Linear Algebra,3,Dr. Brown,MATH102,Matrices
PHY101,Physics I,3,Dr. Newton,None,Kinematics
PHY201,Physics II,3,Dr. Einstein,PHY101,Electricity
ENG101,English for Engineers,2,Dr. Adams,None,Technical writing
AI301,Introduction to AI,3,Dr. Turing,CS201,Search algorithms
SWENG101,Software Engineering,3,Dr. Brooks,CS102,SDLC
DB101,Databases,3,Dr. Codd,CS102,SQL
COMM201,Communication Skills,2,Dr. Mayer,None,Public speaking
